# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.compilation.GroovyCompilationBenchmark.scriptFromClassloader

# Run progress: 0.00% complete, ETA 06:00:00
# Fork: 1 of 4
# Warmup Iteration   1: 2998011.011 ops/s
# Warmup Iteration   2: 3185491.304 ops/s
# Warmup Iteration   3: 3500271.380 ops/s
# Warmup Iteration   4: 3494742.562 ops/s
# Warmup Iteration   5: 3448965.781 ops/s
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.groovyscript.groovyshell.GroovyShellBenchmark.groovyNoShellNoScriptInOneCycle

# Run progress: 5.56% complete, ETA 05:41:18
# Fork: 1 of 4
# Warmup Iteration   1: 4009976.924 ops/s
# Warmup Iteration   2: 3736787.800 ops/s
# Warmup Iteration   3: 3780485.929 ops/s
# Warmup Iteration   4: 3774442.798 ops/s
# Warmup Iteration   5: 3752665.393 ops/s
Iteration   1: 3784471.059 ops/s
Iteration   2: 3781114.457 ops/s
Iteration   3: 3780943.390 ops/s
Iteration   4: 3782546.757 ops/s
Iteration   5: 3785167.909 ops/s
Iteration   6: 3773852.638 ops/s
Iteration   7: 3784611.906 ops/s
Iteration   8: 3774201.713 ops/s
Iteration   9: 3788274.131 ops/s
Iteration  10: 3777427.352 ops/s

# Run progress: 6.94% complete, ETA 05:36:20
# Fork: 2 of 4
# Warmup Iteration   1: 4021440.100 ops/s
# Warmup Iteration   2: 4174106.165 ops/s
# Warmup Iteration   3: 4176603.741 ops/s
# Warmup Iteration   4: 4175036.307 ops/s
# Warmup Iteration   5: 4190539.658 ops/s
Iteration   1: 4186917.438 ops/s
Iteration   2: 4188865.802 ops/s
Iteration   3: 4186124.594 ops/s
Iteration   4: 4191110.529 ops/s
Iteration   5: 4177270.453 ops/s
Iteration   6: 4183310.436 ops/s
Iteration   7: 4189619.098 ops/s
Iteration   8: 4195108.149 ops/s
Iteration   9: 4160166.685 ops/s
Iteration  10: 4169655.899 ops/s

# Run progress: 8.33% complete, ETA 05:31:21
# Fork: 3 of 4
# Warmup Iteration   1: 3983829.750 ops/s
# Warmup Iteration   2: 4209697.000 ops/s
# Warmup Iteration   3: 4222429.435 ops/s
# Warmup Iteration   4: 4223540.063 ops/s
# Warmup Iteration   5: 4235909.197 ops/s
Iteration   1: 4221133.735 ops/s
Iteration   2: 4234762.145 ops/s
Iteration   3: 4225183.387 ops/s
Iteration   4: 4216903.375 ops/s
Iteration   5: 4225512.781 ops/s
Iteration   6: 4242044.959 ops/s
Iteration   7: 4212916.288 ops/s
Iteration   8: 4233347.123 ops/s
Iteration   9: 4230310.254 ops/s
Iteration  10: 4235609.356 ops/s

# Run progress: 9.72% complete, ETA 05:26:20
# Fork: 4 of 4
# Warmup Iteration   1: 4128238.747 ops/s
# Warmup Iteration   2: 4193185.397 ops/s
# Warmup Iteration   3: 4213956.334 ops/s
# Warmup Iteration   4: 4219069.734 ops/s
# Warmup Iteration   5: 4214742.124 ops/s
Iteration   1: 4212076.513 ops/s
Iteration   2: 4215293.970 ops/s
Iteration   3: 4222958.871 ops/s
Iteration   4: 4206406.453 ops/s
Iteration   5: 4216635.571 ops/s
Iteration   6: 4222234.344 ops/s
Iteration   7: 4220573.714 ops/s
Iteration   8: 4210693.927 ops/s
Iteration   9: 4210191.452 ops/s
Iteration  10: 4220553.669 ops/s


Result "groovyNoShellNoScriptInOneCycle":
  4101902.557 ±(99.9%) 105978.620 ops/s [Average]
  (min, avg, max) = (3773852.638, 4101902.557, 4242044.959), stdev = 188376.903
  CI (99.9%): [3995923.937, 4207881.177] (assumes normal distribution)


# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.groovyscript.groovyshell.GroovyShellBenchmark.groovyNoShellNoScriptNoBindingInOneCycle

# Run progress: 11.11% complete, ETA 05:21:19
# Fork: 1 of 4
# Warmup Iteration   1: 3815112.770 ops/s
# Warmup Iteration   2: 4001655.248 ops/s
# Warmup Iteration   3: 3997084.890 ops/s
# Warmup Iteration   4: 4004060.990 ops/s
# Warmup Iteration   5: 3998842.986 ops/s
Iteration   1: 4002185.990 ops/s
Iteration   2: 3996433.669 ops/s
Iteration   3: 3995928.474 ops/s
Iteration   4: 4007254.266 ops/s
Iteration   5: 4002466.538 ops/s
Iteration   6: 4000481.680 ops/s
Iteration   7: 3999697.094 ops/s
Iteration   8: 4004598.026 ops/s
Iteration   9: 4002062.526 ops/s
Iteration  10: 3994483.823 ops/s

# Run progress: 12.50% complete, ETA 05:16:19
# Fork: 2 of 4
# Warmup Iteration   1: 4320678.910 ops/s
# Warmup Iteration   2: 4443017.314 ops/s
# Warmup Iteration   3: 4460857.462 ops/s
# Warmup Iteration   4: 4452436.496 ops/s
# Warmup Iteration   5: 4454955.828 ops/s
Iteration   1: 4455547.840 ops/s
Iteration   2: 4451521.553 ops/s
Iteration   3: 4462443.329 ops/s
Iteration   4: 4452462.510 ops/s
Iteration   5: 4462593.981 ops/s
Iteration   6: 4456911.481 ops/s
Iteration   7: 4449434.822 ops/s
Iteration   8: 4451216.040 ops/s
Iteration   9: 4449052.289 ops/s
Iteration  10: 4435406.962 ops/s

# Run progress: 13.89% complete, ETA 05:11:18
# Fork: 3 of 4
# Warmup Iteration   1: 4276800.275 ops/s
# Warmup Iteration   2: 4439390.235 ops/s
# Warmup Iteration   3: 4477703.104 ops/s
# Warmup Iteration   4: 4479127.422 ops/s
# Warmup Iteration   5: 4476057.869 ops/s
Iteration   1: 4472715.761 ops/s
Iteration   2: 4473050.070 ops/s
Iteration   3: 4474381.997 ops/s
Iteration   4: 4467874.864 ops/s
Iteration   5: 4470719.548 ops/s
Iteration   6: 4470379.436 ops/s
Iteration   7: 4470947.737 ops/s
Iteration   8: 4471496.020 ops/s
Iteration   9: 4479238.955 ops/s
Iteration  10: 4483511.628 ops/s

# Run progress: 15.28% complete, ETA 05:06:17
# Fork: 4 of 4
# Warmup Iteration   1: 4278866.461 ops/s
# Warmup Iteration   2: 4446256.564 ops/s
# Warmup Iteration   3: 4467762.668 ops/s
# Warmup Iteration   4: 4470079.060 ops/s
# Warmup Iteration   5: 4465390.789 ops/s
Iteration   1: 4464147.129 ops/s
Iteration   2: 4456282.747 ops/s
Iteration   3: 4464334.522 ops/s
Iteration   4: 4476285.371 ops/s
Iteration   5: 4446817.747 ops/s
Iteration   6: 4452365.484 ops/s
Iteration   7: 4447071.387 ops/s
Iteration   8: 4464223.032 ops/s
Iteration   9: 4458622.258 ops/s
Iteration  10: 4470950.451 ops/s


Result "groovyNoShellNoScriptNoBindingInOneCycle":
  4346689.976 ±(99.9%) 113999.967 ops/s [Average]
  (min, avg, max) = (3994483.823, 4346689.976, 4483511.628), stdev = 202634.840
  CI (99.9%): [4232690.009, 4460689.942] (assumes normal distribution)


# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.groovyscript.groovyshell.GroovyShellBenchmark.groovyNoShellNoScriptNoBindingNoMethodInOneCycle

# Run progress: 16.67% complete, ETA 05:01:15
# Fork: 1 of 4
# Warmup Iteration   1: 4230464.263 ops/s
# Warmup Iteration   2: 3947951.298 ops/s
# Warmup Iteration   3: 3951129.167 ops/s
# Warmup Iteration   4: 3943846.372 ops/s
# Warmup Iteration   5: 3952233.627 ops/s
Iteration   1: 3961673.899 ops/s
Iteration   2: 3955962.756 ops/s
Iteration   3: 3958590.069 ops/s
Iteration   4: 3950219.417 ops/s
Iteration   5: 3955060.450 ops/s
Iteration   6: 3957002.193 ops/s
Iteration   7: 3957010.775 ops/s
Iteration   8: 3958590.488 ops/s
Iteration   9: 3949251.218 ops/s
Iteration  10: 3956442.409 ops/s

# Run progress: 18.06% complete, ETA 04:56:14
# Fork: 2 of 4
# Warmup Iteration   1: 4201778.477 ops/s
# Warmup Iteration   2: 4353663.774 ops/s
# Warmup Iteration   3: 4350178.800 ops/s
# Warmup Iteration   4: 4355534.997 ops/s
# Warmup Iteration   5: 4359695.255 ops/s
Iteration   1: 4350176.716 ops/s
Iteration   2: 4347500.491 ops/s
Iteration   3: 4323889.497 ops/s
Iteration   4: 4365068.454 ops/s
Iteration   5: 4363471.587 ops/s
Iteration   6: 4365071.552 ops/s
Iteration   7: 4362649.892 ops/s
Iteration   8: 4368365.708 ops/s
Iteration   9: 4362577.033 ops/s
Iteration  10: 4360034.954 ops/s

# Run progress: 19.44% complete, ETA 04:51:13
# Fork: 3 of 4
# Warmup Iteration   1: 4204935.799 ops/s
# Warmup Iteration   2: 4340370.825 ops/s
# Warmup Iteration   3: 4349601.405 ops/s
# Warmup Iteration   4: 4344531.717 ops/s
# Warmup Iteration   5: 4354737.364 ops/s
Iteration   1: 4352733.395 ops/s
Iteration   2: 4349030.807 ops/s
Iteration   3: 4353182.865 ops/s
Iteration   4: 4336208.310 ops/s
Iteration   5: 4348604.344 ops/s
Iteration   6: 4352271.069 ops/s
Iteration   7: 4339390.496 ops/s
Iteration   8: 4347938.933 ops/s
Iteration   9: 4347879.794 ops/s
Iteration  10: 4341842.567 ops/s

# Run progress: 20.83% complete, ETA 04:46:12
# Fork: 4 of 4
# Warmup Iteration   1: 4153939.975 ops/s
# Warmup Iteration   2: 4315933.928 ops/s
# Warmup Iteration   3: 4250010.182 ops/s
# Warmup Iteration   4: 4261331.770 ops/s
# Warmup Iteration   5: 4275582.859 ops/s
Iteration   1: 4277330.998 ops/s
Iteration   2: 4281930.036 ops/s
Iteration   3: 4271396.859 ops/s
Iteration   4: 4268996.767 ops/s
Iteration   5: 4266721.540 ops/s
Iteration   6: 4267135.221 ops/s
Iteration   7: 4271954.420 ops/s
Iteration   8: 4276318.920 ops/s
Iteration   9: 4263196.105 ops/s
Iteration  10: 4276142.344 ops/s


Result "groovyNoShellNoScriptNoBindingNoMethodInOneCycle":
  4232970.384 ±(99.9%) 93109.872 ops/s [Average]
  (min, avg, max) = (3949251.218, 4232970.384, 4368365.708), stdev = 165502.717
  CI (99.9%): [4139860.511, 4326080.256] (assumes normal distribution)


# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.groovyscript.invokedynamic.IndyGroovyShellBenchmark.groovyNoShellNoScriptInOneCycle

# Run progress: 22.22% complete, ETA 04:41:11
# Fork: 1 of 4
# Warmup Iteration   1: 4525509.657 ops/s
# Warmup Iteration   2: 4694624.748 ops/s
# Warmup Iteration   3: 4705517.984 ops/s
# Warmup Iteration   4: 4718516.464 ops/s
# Warmup Iteration   5: 4705831.205 ops/s
Iteration   1: 4702448.321 ops/s
Iteration   2: 4708006.022 ops/s
Iteration   3: 4706255.043 ops/s
Iteration   4: 4706393.299 ops/s
Iteration   5: 4713921.213 ops/s
Iteration   6: 4711556.021 ops/s
Iteration   7: 4697584.795 ops/s
Iteration   8: 4683642.371 ops/s
Iteration   9: 4678837.011 ops/s
Iteration  10: 4695572.925 ops/s

# Run progress: 23.61% complete, ETA 04:36:10
# Fork: 2 of 4
# Warmup Iteration   1: 4511966.749 ops/s
# Warmup Iteration   2: 4734147.979 ops/s
# Warmup Iteration   3: 4736979.429 ops/s
# Warmup Iteration   4: 4740448.955 ops/s
# Warmup Iteration   5: 4737157.557 ops/s
Iteration   1: 4740742.965 ops/s
Iteration   2: 4744366.431 ops/s
Iteration   3: 4746461.091 ops/s
Iteration   4: 4731220.794 ops/s
Iteration   5: 4735963.763 ops/s
Iteration   6: 4738163.497 ops/s
Iteration   7: 4743880.472 ops/s
Iteration   8: 4733486.763 ops/s
Iteration   9: 4729524.196 ops/s
Iteration  10: 4739119.666 ops/s

# Run progress: 25.00% complete, ETA 04:31:09
# Fork: 3 of 4
# Warmup Iteration   1: 4503406.204 ops/s
# Warmup Iteration   2: 4650138.309 ops/s
# Warmup Iteration   3: 4690430.907 ops/s
# Warmup Iteration   4: 4675214.696 ops/s
# Warmup Iteration   5: 4676335.663 ops/s
Iteration   1: 4672609.790 ops/s
Iteration   2: 4681377.883 ops/s
Iteration   3: 4675528.931 ops/s
Iteration   4: 4675316.260 ops/s
Iteration   5: 4664195.099 ops/s
Iteration   6: 4676584.900 ops/s
Iteration   7: 4662411.428 ops/s
Iteration   8: 4672494.014 ops/s
Iteration   9: 4670597.798 ops/s
Iteration  10: 4675545.175 ops/s

# Run progress: 26.39% complete, ETA 04:26:08
# Fork: 4 of 4
# Warmup Iteration   1: 4383737.850 ops/s
# Warmup Iteration   2: 4819122.772 ops/s
# Warmup Iteration   3: 4819767.173 ops/s
# Warmup Iteration   4: 4838213.964 ops/s
# Warmup Iteration   5: 4833111.661 ops/s
Iteration   1: 4823209.375 ops/s
Iteration   2: 4826363.357 ops/s
Iteration   3: 4822316.525 ops/s
Iteration   4: 4813614.856 ops/s
Iteration   5: 4825382.385 ops/s
Iteration   6: 4824308.279 ops/s
Iteration   7: 4824793.968 ops/s
Iteration   8: 4834717.670 ops/s
Iteration   9: 4826888.225 ops/s
Iteration  10: 4828631.438 ops/s


Result "groovyNoShellNoScriptInOneCycle":
  4734100.850 ±(99.9%) 32975.947 ops/s [Average]
  (min, avg, max) = (4662411.428, 4734100.850, 4834717.670), stdev = 58614.716
  CI (99.9%): [4701124.904, 4767076.797] (assumes normal distribution)


# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.groovyscript.invokedynamic.IndyGroovyShellBenchmark.groovyNoShellNoScriptNoBindingInOneCycle

# Run progress: 27.78% complete, ETA 04:21:06
# Fork: 1 of 4
# Warmup Iteration   1: 4641974.966 ops/s
# Warmup Iteration   2: 4808134.647 ops/s
# Warmup Iteration   3: 4822757.112 ops/s
# Warmup Iteration   4: 4829518.571 ops/s
# Warmup Iteration   5: 4814435.920 ops/s
Iteration   1: 4822610.276 ops/s
Iteration   2: 4821338.133 ops/s
Iteration   3: 4820710.029 ops/s
Iteration   4: 4826201.545 ops/s
Iteration   5: 4819606.723 ops/s
Iteration   6: 4825431.932 ops/s
Iteration   7: 4827240.091 ops/s
Iteration   8: 4800929.642 ops/s
Iteration   9: 4801089.957 ops/s
Iteration  10: 4780957.745 ops/s

# Run progress: 29.17% complete, ETA 04:16:05
# Fork: 2 of 4
# Warmup Iteration   1: 4703907.527 ops/s
# Warmup Iteration   2: 4802599.357 ops/s
# Warmup Iteration   3: 4810961.850 ops/s
# Warmup Iteration   4: 4827961.864 ops/s
# Warmup Iteration   5: 4807438.533 ops/s
Iteration   1: 4830147.776 ops/s
Iteration   2: 4816882.159 ops/s
Iteration   3: 4816690.514 ops/s
Iteration   4: 4823976.144 ops/s
Iteration   5: 4832646.129 ops/s
Iteration   6: 4820099.676 ops/s
Iteration   7: 4826251.775 ops/s
Iteration   8: 4819895.342 ops/s
Iteration   9: 4807198.245 ops/s
Iteration  10: 4825789.472 ops/s

# Run progress: 30.56% complete, ETA 04:11:04
# Fork: 3 of 4
# Warmup Iteration   1: 4622570.263 ops/s
# Warmup Iteration   2: 4884743.385 ops/s
# Warmup Iteration   3: 4889940.486 ops/s
# Warmup Iteration   4: 4898499.738 ops/s
# Warmup Iteration   5: 4882790.271 ops/s
Iteration   1: 4898268.766 ops/s
Iteration   2: 4892497.666 ops/s
Iteration   3: 4875337.900 ops/s
Iteration   4: 4875973.398 ops/s
Iteration   5: 4863793.465 ops/s
Iteration   6: 4880203.053 ops/s
Iteration   7: 4884735.034 ops/s
Iteration   8: 4894596.126 ops/s
Iteration   9: 4895521.230 ops/s
Iteration  10: 4888520.838 ops/s

# Run progress: 31.94% complete, ETA 04:06:03
# Fork: 4 of 4
# Warmup Iteration   1: 4437974.629 ops/s
# Warmup Iteration   2: 4754902.920 ops/s
# Warmup Iteration   3: 4763541.945 ops/s
# Warmup Iteration   4: 4775438.629 ops/s
# Warmup Iteration   5: 4771851.256 ops/s
Iteration   1: 4763058.236 ops/s
Iteration   2: 4763319.020 ops/s
Iteration   3: 4762947.004 ops/s
Iteration   4: 4764845.895 ops/s
Iteration   5: 4761108.369 ops/s
Iteration   6: 4750670.553 ops/s
Iteration   7: 4754579.601 ops/s
Iteration   8: 4772480.702 ops/s
Iteration   9: 4768174.235 ops/s
Iteration  10: 4773896.986 ops/s


Result "groovyNoShellNoScriptNoBindingInOneCycle":
  4821255.535 ±(99.9%) 25239.823 ops/s [Average]
  (min, avg, max) = (4750670.553, 4821255.535, 4898268.766), stdev = 44863.764
  CI (99.9%): [4796015.711, 4846495.358] (assumes normal distribution)


# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.groovyscript.invokedynamic.IndyGroovyShellBenchmark.groovyNoShellNoScriptNoBindingNoMethodInOneCycle

# Run progress: 33.33% complete, ETA 04:01:02
# Fork: 1 of 4
# Warmup Iteration   1: 4268566.815 ops/s
# Warmup Iteration   2: 5076634.774 ops/s
# Warmup Iteration   3: 5107299.943 ops/s
# Warmup Iteration   4: 5107385.656 ops/s
# Warmup Iteration   5: 5102685.751 ops/s
Iteration   1: 5110202.561 ops/s
Iteration   2: 5098002.917 ops/s
Iteration   3: 5101322.965 ops/s
Iteration   4: 5107456.555 ops/s
Iteration   5: 5092211.373 ops/s
Iteration   6: 5105752.415 ops/s
Iteration   7: 5106276.282 ops/s
Iteration   8: 5099468.574 ops/s
Iteration   9: 5112574.927 ops/s
Iteration  10: 5096096.062 ops/s

# Run progress: 34.72% complete, ETA 03:56:00
# Fork: 2 of 4
# Warmup Iteration   1: 4756448.508 ops/s
# Warmup Iteration   2: 5088683.797 ops/s
# Warmup Iteration   3: 5140461.804 ops/s
# Warmup Iteration   4: 5127004.972 ops/s
# Warmup Iteration   5: 5127977.904 ops/s
Iteration   1: 5132263.231 ops/s
Iteration   2: 5133670.747 ops/s
Iteration   3: 5133151.354 ops/s
Iteration   4: 5142025.428 ops/s
Iteration   5: 5135730.517 ops/s
Iteration   6: 5140724.775 ops/s
Iteration   7: 5135135.188 ops/s
Iteration   8: 5136744.695 ops/s
Iteration   9: 5126354.928 ops/s
Iteration  10: 5137705.466 ops/s

# Run progress: 36.11% complete, ETA 03:50:59
# Fork: 3 of 4
# Warmup Iteration   1: 4550629.524 ops/s
# Warmup Iteration   2: 4787221.370 ops/s
# Warmup Iteration   3: 4793943.233 ops/s
# Warmup Iteration   4: 4767916.706 ops/s
# Warmup Iteration   5: 4772021.958 ops/s
Iteration   1: 4789078.904 ops/s
Iteration   2: 4796403.636 ops/s
Iteration   3: 4798381.520 ops/s
Iteration   4: 4808179.581 ops/s
Iteration   5: 4802116.933 ops/s
Iteration   6: 4802282.844 ops/s
Iteration   7: 4799028.801 ops/s
Iteration   8: 4813387.572 ops/s
Iteration   9: 4812126.157 ops/s
Iteration  10: 4805670.719 ops/s

# Run progress: 37.50% complete, ETA 03:45:58
# Fork: 4 of 4
# Warmup Iteration   1: 4598287.057 ops/s
# Warmup Iteration   2: 4780134.496 ops/s
# Warmup Iteration   3: 4785891.944 ops/s
# Warmup Iteration   4: 4795418.332 ops/s
# Warmup Iteration   5: 4805437.100 ops/s
Iteration   1: 4795298.477 ops/s
Iteration   2: 4791193.890 ops/s
Iteration   3: 4784324.054 ops/s
Iteration   4: 4794879.200 ops/s
Iteration   5: 4791587.216 ops/s
Iteration   6: 4798525.836 ops/s
Iteration   7: 4793224.540 ops/s
Iteration   8: 4792552.644 ops/s
Iteration   9: 4787120.497 ops/s
Iteration  10: 4790732.143 ops/s


Result "groovyNoShellNoScriptNoBindingNoMethodInOneCycle":
  4958224.153 ±(99.9%) 91995.790 ops/s [Average]
  (min, avg, max) = (4784324.054, 4958224.153, 5142025.428), stdev = 163522.436
  CI (99.9%): [4866228.363, 5050219.943] (assumes normal distribution)


# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.groovyscript.jsr223.GroovyJSR223Benchmark.groovyNoEngineInOneCycle

# Run progress: 38.89% complete, ETA 03:40:57
# Fork: 1 of 4
# Warmup Iteration   1: 129043.417 ops/s
# Warmup Iteration   2: 136201.593 ops/s
# Warmup Iteration   3: 135851.272 ops/s
# Warmup Iteration   4: 136092.516 ops/s
# Warmup Iteration   5: 135178.521 ops/s
Iteration   1: 135770.809 ops/s
Iteration   2: 135719.596 ops/s
Iteration   3: 135855.032 ops/s
Iteration   4: 136338.468 ops/s
Iteration   5: 136259.608 ops/s
Iteration   6: 136244.613 ops/s
Iteration   7: 135941.484 ops/s
Iteration   8: 136242.489 ops/s
Iteration   9: 136362.896 ops/s
Iteration  10: 136388.766 ops/s

# Run progress: 40.28% complete, ETA 03:35:55
# Fork: 2 of 4
# Warmup Iteration   1: 122608.692 ops/s
# Warmup Iteration   2: 129215.789 ops/s
# Warmup Iteration   3: 130342.703 ops/s
# Warmup Iteration   4: 129818.960 ops/s
# Warmup Iteration   5: 130189.542 ops/s
Iteration   1: 129196.086 ops/s
Iteration   2: 128924.985 ops/s
Iteration   3: 128632.466 ops/s
Iteration   4: 129963.214 ops/s
Iteration   5: 130046.481 ops/s
Iteration   6: 129320.315 ops/s
Iteration   7: 129683.356 ops/s
Iteration   8: 129564.694 ops/s
Iteration   9: 129077.583 ops/s
Iteration  10: 129487.135 ops/s

# Run progress: 41.67% complete, ETA 03:30:54
# Fork: 3 of 4
# Warmup Iteration   1: 137521.921 ops/s
# Warmup Iteration   2: 145145.273 ops/s
# Warmup Iteration   3: 146628.850 ops/s
# Warmup Iteration   4: 145208.018 ops/s
# Warmup Iteration   5: 145006.409 ops/s
Iteration   1: 145305.490 ops/s
Iteration   2: 145781.056 ops/s
Iteration   3: 145117.140 ops/s
Iteration   4: 144865.198 ops/s
Iteration   5: 144342.385 ops/s
Iteration   6: 143725.184 ops/s
Iteration   7: 144703.402 ops/s
Iteration   8: 145462.390 ops/s
